company,statementDate,quarter,year,accountClassification,account,amount
AMD,2012-06-30,2,2012,1 - Gross Profit,1.2 - COGS,-775000000.0
AMD,2012-06-30,2,2012,2 - Operating Expenses,2.1 - SG&A,-212000000.0
AMD,2012-06-30,2,2012,2 - Operating Expenses,2.2 - R&D,-345000000.0
AMD,2012-06-30,2,2012,2 - Operating Expenses,2.3 - Operating Expenses,-4000000.0
AMD,2012-06-30,2,2012,3 - Other Income/Expenses,3.1 - Net Interest Expense,-41000000.0
AMD,2012-06-30,2,2012,3 - Other Income/Expenses,3.2 - Net Other Expenses,-5000000.0
AMD,2012-06-30,2,2012,4 - Taxes,4.1 - Taxes,-6000000.0
AMD,2012-03-31,1,2012,1 - Gross Profit,1.1 - Revenue,1585000000.0
AMD,2012-03-31,1,2012,1 - Gross Profit,1.2 - COGS,-1558000000.0
AMD,2012-03-31,1,2012,2 - Operating Expenses,2.1 - SG&A,-230000000.0
AMD,2012-03-31,1,2012,2 - Operating Expenses,2.2 - R&D,-368000000.0
AMD,2012-03-31,1,2012,2 - Operating Expenses,2.3 - Operating Expenses,-1000000.0
AMD,2012-03-31,1,2012,3 - Other Income/Expenses,3.1 - Net Interest Expense,-41000000.0
AMD,2012-03-31,1,2012,3 - Other Income/Expenses,3.2 - Net Other Expenses,-9000000.0
AMD,2012-03-31,1,2012,4 - Taxes,4.1 - Taxes,-32000000.0
AMD,2011-12-31,4,2011,1 - Gross Profit,1.1 - Revenue,1691000000.0
AMD,2011-12-31,4,2011,1 - Gross Profit,1.2 - COGS,-918000000.0
AMD,2011-12-31,4,2011,2 - Operating Expenses,2.1 - SG&A,-243000000.0
AMD,2011-12-31,4,2011,2 - Operating Expenses,2.2 - R&D,-358000000.0
AMD,2011-12-31,4,2011,2 - Operating Expenses,2.3 - Operating Expenses,-3000000.0
AMD,2011-12-31,4,2011,3 - Other Income/Expenses,3.1 - Net Interest Expense,-41000000.0
AMD,2011-12-31,4,2011,3 - Other Income/Expenses,3.2 - Net Other Expenses,-305000000.0
AMD,2011-12-31,4,2011,4 - Taxes,4.1 - Taxes,0.0
AMD,2011-09-30,3,2011,1 - Gross Profit,1.1 - Revenue,1690000000.0
AMD,2011-09-30,3,2011,1 - Gross Profit,1.2 - COGS,-934000000.0
AMD,2011-09-30,3,2011,2 - Operating Expenses,2.1 - SG&A,-249000000.0
AMD,2011-09-30,3,2011,2 - Operating Expenses,2.2 - R&D,-361000000.0
AMD,2011-09-30,3,2011,2 - Operating Expenses,2.3 - Operating Expenses,-8000000.0
AMD,2011-09-30,3,2011,3 - Other Income/Expenses,3.1 - Net Interest Expense,-39000000.0
AMD,2011-09-30,3,2011,3 - Other Income/Expenses,3.2 - Net Other Expenses,-7000000.0
AMD,2011-09-30,3,2011,4 - Taxes,4.1 - Taxes,-5000000.0
AMD,2011-06-30,2,2011,1 - Gross Profit,1.1 - Revenue,1574000000.0
AMD,2011-06-30,2,2011,1 - Gross Profit,1.2 - COGS,-854000000.0
AMD,2011-06-30,2,2011,2 - Operating Expenses,2.1 - SG&A,-239000000.0
AMD,2011-06-30,2,2011,2 - Operating Expenses,2.2 - R&D,-367000000.0
AMD,2011-06-30,2,2011,2 - Operating Expenses,2.3 - Operating Expenses,-9000000.0
